"schlid","studid","tchrid","math","year"
26,2358,2624,592,0
26,2359,2583,519,-1
26,2360,2583,604,-1
26,2360,2624,652,0
26,2361,2583,593,-1
26,2363,2583,542,-1
26,2364,2583,519,-1
26,2366,2583,604,-1
26,2366,2694,595,0
26,2367,2583,553,-1
26,2367,2624,588,0
26,2368,2485,580,1
26,2368,2583,523,-1
26,2368,2624,534,0
26,2369,2694,617,0
26,2370,2583,632,-1
26,2370,2604,683,0
26,2370,2605,705,1
26,2371,2583,586,-1
26,2371,2624,592,0
26,2372,2583,660,-1
26,2373,2583,583,-1
26,2373,2684,635,0
26,2373,2765,605,1
26,2374,2485,587,1
26,2374,2583,563,-1
26,2374,2694,582,0
26,2377,2583,622,-1
26,2377,2694,639,0
26,2378,2583,660,-1
26,2378,2604,631,0
26,2379,2583,627,-1
26,2379,2645,740,1
26,2379,2694,744,0
26,2380,2593,699,-1
26,2380,2624,718,0
26,2380,2645,765,1
26,2382,2593,523,-1
26,2383,2593,563,-1
26,2383,2624,568,0
26,2383,2765,595,1
26,2384,2593,539,-1
26,2384,2605,595,1
26,2385,2593,652,-1
26,2386,2593,569,-1
26,2386,2694,621,0
26,2386,2765,638,1
26,2387,2593,617,-1
26,2387,2694,628,0
26,2389,2593,622,-1
26,2389,2624,628,0
26,2390,2593,586,-1
26,2390,2645,648,1
26,2390,2694,617,0
26,2391,2593,573,-1
26,2391,2624,611,0
26,2392,2593,627,-1
26,2392,2684,598,0
26,2393,2593,632,-1
26,2394,2593,617,-1
26,2394,2694,628,0
26,2395,2593,652,-1
26,2395,2605,724,1
26,2396,2593,576,-1
26,2396,2624,604,0
26,2397,2593,546,-1
26,2398,2593,632,-1
26,2398,2605,620,1
26,2398,2694,624,0
26,2399,2485,626,1
26,2399,2593,583,-1
26,2399,2684,617,0
26,2400,2593,576,-1
26,2400,2604,557,0
26,2400,2605,601,1
26,2401,2593,556,-1
26,2401,2624,553,0
26,2402,2593,579,-1
26,2403,2593,632,-1
26,2403,2624,628,0
26,2404,2593,682,-1
26,2406,2593,589,-1
26,2406,2684,628,0
26,2478,2694,575,0
26,2480,2684,553,0
26,2482,2485,617,1
26,2483,2684,692,0
26,2484,2694,643,0
26,2485,2694,585,0
26,2487,2684,617,0
26,2488,2624,598,0
26,2488,2645,580,1
26,2489,2694,617,0
26,2490,2624,561,0
26,2491,2694,643,0
26,2492,2624,675,0
26,2492,2765,671,1
26,2494,2694,604,0
26,2495,2684,608,0
26,2496,2694,565,0
26,2496,2765,598,1
26,2498,2684,652,0
26,2500,2624,582,0
26,2501,2645,645,1
26,2501,2684,614,0
26,2502,2624,557,0
26,2503,2694,692,0
26,2504,2694,553,0
26,2505,2684,635,0
26,2506,2694,611,0
26,2507,2684,572,0
26,2508,2624,595,0
26,2509,2694,579,0
26,2510,2624,505,0
47,2637,2973,632,-1
47,2638,2973,613,-1
47,2638,2994,639,0
47,2639,2973,670,-1
47,2639,3004,643,0
47,2642,2973,645,-1
47,2643,2943,604,-1
47,2643,3024,639,0
47,2648,3004,579,0
47,2648,3005,584,1
47,2659,3004,528,0
47,2659,3245,580,1
47,2660,3004,572,0
47,2661,2994,549,0
47,2662,3004,582,0
47,2663,2994,614,0
47,2663,3065,623,1
47,2666,3124,624,0
47,2666,3135,638,1
47,2668,2953,576,-1
47,2669,2953,535,-1
47,2669,2994,565,0
47,2669,3065,587,1
47,2670,2953,632,-1
47,2671,2953,609,-1
47,2672,2953,617,-1
47,2673,2953,604,-1
47,2673,2994,643,0
47,2674,3024,631,0
47,2676,2953,573,-1
47,2677,2953,563,-1
47,2677,2994,614,0
47,2677,3065,601,1
47,2678,2953,627,-1
47,2678,3004,624,0
47,2678,3005,652,1
47,2679,2953,600,-1
47,2680,2953,604,-1
47,2681,2953,523,-1
47,2681,2994,595,0
47,2682,2953,593,-1
47,2682,2994,643,0
47,2683,2953,553,-1
47,2684,2953,583,-1
47,2685,2953,600,-1
47,2687,2953,579,-1
47,2688,2963,609,-1
47,2689,2963,559,-1
47,2691,2963,597,-1
47,2691,3004,631,0
47,2692,2963,609,-1
47,2692,3024,643,0
47,2692,3065,655,1
47,2695,2963,569,-1
47,2695,2994,604,0
47,2697,2963,600,-1
47,2698,2963,579,-1
47,2698,2994,621,0
47,2698,3065,614,1
47,2699,2963,556,-1
47,2699,3024,601,0
47,2699,3065,648,1
47,2700,2963,638,-1
47,2700,3024,675,0
47,2702,2963,617,-1
47,2703,2963,597,-1
47,2704,2963,597,-1
47,2704,3024,652,0
47,2704,3065,652,1
47,2705,2963,556,-1
47,2705,3024,604,0
47,2705,3135,575,1
47,2706,2963,660,-1
47,2706,3024,668,0
47,2707,2963,573,-1
47,2708,2963,563,-1
47,2709,2963,645,-1
47,2709,3004,617,0
47,2709,3005,652,1
47,2710,2973,638,-1
47,2710,2994,652,0
47,2710,3065,685,1
47,2711,2973,559,-1
47,2712,2973,573,-1
47,2713,2973,542,-1
47,2714,2973,604,-1
47,2714,2994,652,0
47,2715,2973,589,-1
47,2715,3124,648,0
47,2715,3135,697,1
47,2716,2973,622,-1
47,2716,3024,639,0
47,2716,3135,645,1
47,2717,2973,589,-1
47,2717,2994,611,0
47,2719,2973,531,-1
47,2720,2973,576,-1
47,2720,2994,624,0
47,2720,3065,635,1
47,2721,2973,617,-1
47,2722,2943,632,-1
47,2723,3124,582,0
47,2723,3195,591,1
47,2724,2973,563,-1
47,2725,2973,556,-1
47,2725,3004,579,0
47,2725,3005,611,1
47,2726,2973,589,-1
47,2727,2973,632,-1
47,2728,2973,638,-1
47,2729,2973,566,-1
47,2729,2994,614,0
47,2729,3065,617,1
47,2731,2973,652,-1
47,2731,3024,663,0
47,2731,3065,685,1
47,2732,2973,509,-1
47,2733,3124,588,0
47,2733,3195,598,1
47,2734,2983,563,-1
47,2734,3024,595,0
47,2734,3135,598,1
47,2735,2983,527,-1
47,2735,3024,592,0
47,2736,2983,556,-1
47,2736,3024,582,0
47,2738,2983,553,-1
47,2738,3124,624,0
47,2739,2983,553,-1
47,2739,2994,575,0
47,2739,3135,620,1
47,2740,2983,535,-1
47,2741,2983,579,-1
47,2743,2983,586,-1
47,2743,3024,601,0
47,2744,3033,542,-1
47,2744,3124,575,0
47,2744,3195,584,1
47,2746,3024,614,0
47,2746,3033,586,-1
47,2747,3033,600,-1
47,2748,3033,573,-1
47,2749,3033,609,-1
47,2750,3024,614,0
47,2750,3033,604,-1
47,2751,2973,519,-1
47,2753,2963,559,-1
47,2754,2963,617,-1
47,2754,3024,692,0
47,2755,2953,531,-1
47,2756,2953,563,-1
47,2864,3004,624,0
47,2865,3004,611,0
47,2866,3004,683,0
47,2866,3005,675,1
47,2867,3004,675,0
47,2868,3004,595,0
47,2869,3004,614,0
47,2869,3005,680,1
47,2874,3024,585,0
47,2875,3024,643,0
47,2875,3135,659,1
47,2876,3024,604,0
47,2876,3135,605,1
47,2877,3024,582,0
47,2878,3004,592,0
47,2879,3004,621,0
47,2880,2994,639,0
47,2880,3065,642,1
47,2881,2994,598,0
47,2883,3124,604,0
47,2885,3004,534,0
47,2889,3124,604,0
47,2890,3195,587,1
47,2891,3015,675,1
47,2891,3124,683,0
47,2892,3124,608,0
47,2892,3135,642,1
47,2895,3124,565,0
47,2897,3124,572,0
47,2899,2994,628,0
47,2899,3005,623,1
47,2900,3024,683,0
63,3061,3303,576,-1
63,3062,3303,566,-1
63,3062,3334,534,0
63,3062,3435,580,1
63,3063,3303,519,-1
63,3063,3334,557,0
63,3063,3435,580,1
63,3064,3303,579,-1
63,3064,3334,557,0
63,3065,3303,576,-1
63,3066,3303,539,-1
63,3066,3334,544,0
63,3066,3435,571,1
63,3067,3303,539,-1
63,3067,3334,585,0
63,3067,3435,584,1
63,3068,3303,604,-1
63,3068,3334,575,0
63,3068,3435,642,1
63,3069,3303,549,-1
63,3069,3334,553,0
63,3069,3435,566,1
63,3070,3303,604,-1
63,3070,3334,628,0
63,3070,3435,638,1
63,3071,3303,514,-1
63,3072,3303,527,-1
63,3073,3303,576,-1
63,3073,3334,568,0
63,3074,3303,559,-1
63,3075,3303,597,-1
63,3076,3303,542,-1
63,3077,3303,569,-1
63,3077,3334,588,0
63,3078,3303,583,-1
63,3078,3334,595,0
63,3078,3435,598,1
63,3079,3385,575,1
63,3080,3384,549,0
63,3082,3303,535,-1
63,3111,3334,579,0
63,3112,3334,568,0
63,3114,3334,544,0
63,3114,3435,601,1
63,3115,3334,544,0
63,3115,3435,635,1
63,3116,3435,591,1
63,3117,3334,595,0
63,3118,3334,592,0
63,3118,3435,584,1
63,3120,3384,561,0
63,3121,3384,539,0
63,3123,3334,565,0
5,3163,3563,600,-1
5,3164,3563,509,-1
5,3165,3563,553,-1
5,3166,3563,573,-1
5,3167,3563,613,-1
5,3168,3563,613,-1
5,3169,3563,579,-1
5,3170,3563,559,-1
5,3171,3563,589,-1
5,3172,3563,597,-1
5,3173,3563,627,-1
5,3174,3563,604,-1
5,3175,3563,569,-1
5,3176,3563,535,-1
5,3177,3563,549,-1
5,3179,3563,638,-1
5,3180,3563,573,-1
5,3181,3563,553,-1
5,3182,3563,593,-1
5,3183,3563,559,-1
5,3184,3563,566,-1
5,3185,3563,573,-1
5,3186,3563,589,-1
5,3187,3563,531,-1
5,3188,3563,613,-1
5,3189,3573,573,-1
5,3190,3573,546,-1
5,3190,3594,544,0
5,3190,3735,591,1
5,3191,3573,579,-1
5,3191,3594,617,0
5,3191,3645,655,1
5,3192,3573,556,-1
5,3192,3594,611,0
5,3192,3755,591,1
5,3193,3573,542,-1
5,3194,3573,556,-1
5,3195,3573,576,-1
5,3195,3594,628,0
5,3195,3645,652,1
5,3196,3573,573,-1
5,3196,3594,611,0
5,3197,3573,559,-1
5,3198,3573,573,-1
5,3198,3594,624,0
5,3198,3755,623,1
5,3199,3573,589,-1
5,3199,3594,601,0
5,3199,3755,635,1
5,3200,3573,535,-1
5,3201,3573,556,-1
5,3202,3573,566,-1
5,3202,3594,579,0
5,3202,3735,623,1
5,3203,3573,569,-1
5,3203,3594,608,0
5,3203,3745,623,1
5,3204,3573,652,-1
5,3204,3594,621,0
5,3205,3573,586,-1
5,3205,3594,561,0
5,3206,3573,576,-1
5,3206,3594,588,0
5,3208,3573,549,-1
5,3208,3594,595,0
5,3208,3755,598,1
5,3209,3573,579,-1
5,3209,3594,549,0
5,3209,3745,584,1
5,3211,3573,573,-1
5,3211,3594,614,0
5,3212,3573,579,-1
5,3212,3594,621,0
5,3212,3735,648,1
5,3213,3573,589,-1
5,3214,3573,617,-1
5,3214,3594,631,0
5,3263,3594,557,0
5,3263,3755,571,1
5,3264,3594,528,0
5,3265,3735,584,1
5,3266,3735,691,1
5,3267,3594,585,0
5,3269,3594,553,0
5,3269,3755,638,1
5,3270,3594,579,0
5,3270,3645,611,1
5,3272,3594,582,0
5,3273,3594,598,0
56,3366,3783,569,-1
56,3366,3894,604,0
56,3367,3783,569,-1
56,3368,3783,539,-1
56,3368,3894,592,0
56,3369,3783,519,-1
56,3369,3894,549,0
56,3370,3783,539,-1
56,3370,3894,557,0
56,3371,3783,539,-1
56,3372,3783,523,-1
56,3372,3894,565,0
56,3373,3783,539,-1
56,3373,3894,568,0
56,3374,3783,613,-1
56,3375,3783,569,-1
56,3375,3894,639,0
56,3375,3895,666,1
56,3376,3783,569,-1
56,3376,3894,628,0
56,3377,3783,559,-1
56,3377,3894,595,0
56,3378,3783,613,-1
56,3379,3793,573,-1
56,3380,3793,569,-1
56,3380,3794,534,0
56,3381,3793,579,-1
56,3381,3794,568,0
56,3382,3793,546,-1
56,3382,3794,553,0
56,3383,3793,559,-1
56,3383,3794,553,0
56,3384,3794,572,0
56,3385,3793,563,-1
56,3385,3794,565,0
56,3386,3793,563,-1
56,3386,3794,582,0
56,3387,3793,563,-1
56,3387,3794,582,0
56,3388,3793,535,-1
56,3389,3793,569,-1
56,3389,3794,592,0
56,3391,3793,627,-1
56,3392,3793,566,-1
56,3392,3794,575,0
56,3393,3793,563,-1
56,3393,3794,582,0
56,3394,3793,546,-1
56,3396,3793,589,-1
56,3396,3794,582,0
56,3397,3793,553,-1
56,3397,3794,579,0
56,3398,3793,559,-1
56,3398,3794,588,0
56,3399,3793,579,-1
56,3399,3794,631,0
56,3400,3793,519,-1
56,3401,3794,598,0
56,3402,3793,527,-1
56,3402,3794,553,0
56,3403,3793,556,-1
56,3403,3794,565,0
56,3403,3895,623,1
56,3404,3793,549,-1
56,3404,3794,565,0
56,3448,3794,604,0
56,3448,3895,652,1
56,3449,3794,598,0
56,3450,3794,568,0
56,3451,3894,565,0
56,3453,3894,579,0
56,3455,3894,588,0
56,3455,3895,629,1
56,3457,3894,572,0
56,3457,3895,632,1
56,3460,3894,668,0
56,3461,3894,608,0
1,3530,3963,670,-1
1,3530,3974,652,0
1,3530,4025,705,1
1,3531,3963,593,-1
1,3531,3974,611,0
1,3531,4025,642,1
1,3532,3974,621,0
1,3533,3963,583,-1
1,3534,3963,569,-1
1,3534,3974,608,0
1,3534,4025,638,1
1,3535,3963,566,-1
1,3535,3974,595,0
1,3535,4025,635,1
1,3536,3963,609,-1
1,3536,3974,628,0
1,3536,4025,662,1
1,3537,3963,622,-1
1,3537,3974,648,0
1,3537,4025,666,1
1,3538,3963,559,-1
1,3540,3963,622,-1
1,3540,4025,662,1
1,3541,3963,622,-1
1,3541,3974,657,0
1,3541,4025,691,1
1,3542,3963,609,-1
1,3542,3974,604,0
1,3542,4025,648,1
1,3543,3963,566,-1
1,3544,3963,617,-1
1,3544,3974,639,0
1,3544,4025,685,1
1,3545,3963,670,-1
1,3545,3974,683,0
1,3545,4025,740,1
1,3546,3963,670,-1
1,3546,3974,683,0
1,3546,4025,697,1
1,3547,3963,609,-1
1,3547,3974,657,0
1,3547,4025,675,1
1,3548,3963,586,-1
1,3548,3974,628,0
1,3549,3963,593,-1
1,3550,3963,627,-1
1,3550,3974,631,0
1,3550,4025,724,1
1,3551,3963,652,-1
1,3551,3974,668,0
1,3551,4025,724,1
1,3552,3963,613,-1
1,3552,3974,639,0
1,3552,4025,655,1
1,3553,3963,617,-1
1,3553,3974,582,0
1,3554,3963,609,-1
1,3555,3963,652,-1
1,3555,3974,675,0
1,3555,4025,675,1
1,3556,3963,556,-1
1,3556,3974,561,0
1,3556,4025,566,1
1,3557,3963,569,-1
1,3557,3974,604,0
1,3557,4025,598,1
1,3577,3974,579,0
1,3577,4025,605,1
1,3578,4025,591,1
1,3579,3974,675,0
1,3579,4025,685,1
41,3599,4083,645,-1
41,3600,4083,627,-1
41,3600,4094,668,0
41,3600,4105,705,1
41,3601,4083,632,-1
41,3601,4094,703,0
41,3601,4105,765,1
41,3602,4083,725,-1
41,3602,4094,767,0
41,3602,4105,740,1
41,3603,4083,682,-1
41,3603,4094,744,0
41,3603,4105,765,1
41,3604,4094,635,0
41,3604,4105,675,1
41,3604,4113,645,-1
41,3605,4113,583,-1
41,3606,4083,638,-1
41,3606,4094,683,0
41,3606,4105,724,1
41,3607,4083,652,-1
41,3607,4094,683,0
41,3607,4105,724,1
41,3608,4083,670,-1
41,3608,4094,703,0
41,3608,4105,697,1
41,3609,4083,622,-1
41,3609,4094,703,0
41,3609,4105,680,1
41,3610,4083,622,-1
41,3610,4094,692,0
41,3610,4105,713,1
41,3611,4083,617,-1
41,3611,4094,675,0
41,3611,4105,697,1
41,3612,4094,631,0
41,3613,4083,632,-1
41,3613,4094,692,0
41,3613,4105,713,1
41,3614,4083,609,-1
41,3614,4094,648,0
41,3615,4083,613,-1
41,3615,4094,639,0
41,3615,4105,680,1
41,3616,4083,670,-1
41,3616,4094,767,0
41,3616,4105,740,1
41,3617,4083,613,-1
41,3617,4094,703,0
41,3617,4105,691,1
41,3618,4083,627,-1
41,3618,4094,683,0
41,3618,4105,675,1
41,3645,4094,624,0
41,3646,4094,718,0
41,3646,4105,740,1
41,3647,4094,683,0
41,3648,4105,655,1
41,3649,4094,744,0
41,3649,4105,675,1
41,3650,4094,703,0
41,3650,4105,713,1
30,3679,4293,627,-1
30,3679,4344,652,0
30,3679,4445,635,1
30,3680,4293,652,-1
30,3680,4374,648,0
30,3681,4293,600,-1
30,3682,4293,638,-1
30,3683,4293,553,-1
30,3683,4344,608,0
30,3683,4445,561,1
30,3684,4293,645,-1
30,3685,4293,556,-1
30,3685,4374,561,0
30,3687,4293,566,-1
30,3688,4293,600,-1
30,3692,4374,604,0
30,3693,4293,660,-1
30,3693,4354,652,0
30,3694,4293,576,-1
30,3694,4374,585,0
30,3696,4293,617,-1
30,3697,4293,613,-1
30,3697,4394,614,0
30,3697,4445,648,1
30,3698,4293,613,-1
30,3698,4344,631,0
30,3699,4293,627,-1
30,3699,4434,652,0
30,3700,4293,583,-1
30,3702,4293,632,-1
30,3703,4293,613,-1
30,3703,4354,611,0
30,3703,4365,635,1
30,3704,4303,579,-1
30,3704,4385,626,1
30,3706,4303,617,-1
30,3706,4434,624,0
30,3707,4303,652,-1
30,3707,4445,671,1
30,3708,4303,597,-1
30,3709,4303,670,-1
30,3709,4385,680,1
30,3709,4434,639,0
30,3710,4303,597,-1
30,3711,4303,638,-1
30,3711,4344,657,0
30,3711,4385,662,1
30,3713,4303,593,-1
30,3713,4344,621,0
30,3715,4303,579,-1
30,3715,4354,595,0
30,3716,4303,609,-1
30,3716,4344,648,0
30,3718,4303,617,-1
30,3718,4374,598,0
30,3719,4303,627,-1
30,3719,4354,628,0
30,3719,4445,648,1
30,3720,4303,542,-1
30,3720,4434,561,0
30,3721,4303,593,-1
30,3722,4303,539,-1
30,3723,4303,632,-1
30,3723,4344,643,0
30,3724,4303,576,-1
30,3724,4344,588,0
30,3724,4385,642,1
30,3725,4313,549,-1
30,3725,4354,565,0
30,3726,4313,579,-1
30,3727,4313,553,-1
30,3727,4374,595,0
30,3728,4354,614,0
30,3728,4445,671,1
30,3729,4313,569,-1
30,3729,4354,652,0
30,3730,4354,631,0
30,3730,4365,659,1
30,3732,4313,579,-1
30,3732,4344,643,0
30,3732,4365,675,1
30,3733,4313,553,-1
30,3734,4313,566,-1
30,3734,4354,565,0
30,3735,4313,632,-1
30,3735,4394,652,0
30,3736,4313,600,-1
30,3737,4313,542,-1
30,3738,4313,600,-1
30,3739,4374,608,0
30,3740,4313,549,-1
30,3740,4354,595,0
30,3740,4385,611,1
30,3741,4385,620,1
30,3744,4344,631,0
30,3744,4365,671,1
30,3745,4313,563,-1
30,3745,4385,580,1
30,3746,4313,556,-1
30,3748,4313,613,-1
30,3748,4394,657,0
30,3749,4313,546,-1
30,3749,4374,604,0
30,3749,4445,659,1
30,3750,4313,563,-1
30,3750,4445,635,1
30,3751,4394,657,0
30,3751,4445,680,1
30,3752,4323,556,-1
30,3752,4434,549,0
30,3753,4445,652,1
30,3755,4323,670,-1
30,3755,4394,652,0
30,3755,4445,691,1
30,3756,4323,573,-1
30,3757,4323,652,-1
30,3757,4385,671,1
30,3757,4394,635,0
30,3758,4323,627,-1
30,3759,4323,627,-1
30,3760,4323,573,-1
30,3761,4323,600,-1
30,3761,4365,655,1
30,3761,4374,608,0
30,3762,4323,660,-1
30,3762,4434,648,0
30,3762,4445,685,1
30,3764,4323,600,-1
30,3764,4385,659,1
30,3764,4394,608,0
30,3765,4323,622,-1
30,3765,4354,648,0
30,3765,4365,680,1
30,3766,4323,627,-1
30,3766,4374,631,0
30,3769,4323,583,-1
30,3770,4323,549,-1
30,3770,4374,572,0
30,3771,4323,569,-1
30,3771,4354,579,0
30,3771,4365,605,1
30,3772,4323,589,-1
30,3773,4365,705,1
30,3773,4434,692,0
30,3774,4333,593,-1
30,3774,4385,662,1
30,3774,4434,614,0
30,3775,4333,604,-1
30,3775,4344,639,0
30,3776,4333,632,-1
30,3777,4333,609,-1
30,3777,4385,659,1
30,3777,4434,643,0
30,3778,4333,622,-1
30,3778,4434,624,0
30,3780,4354,683,0
30,3781,4434,643,0
30,3781,4445,680,1
30,3782,4303,579,-1
30,3782,4445,629,1
30,3783,4303,576,-1
30,3784,4303,645,-1
30,3785,4323,613,-1
30,3785,4365,620,1
30,3785,4374,635,0
30,3913,4354,601,0
30,3915,4354,598,0
30,3918,4365,642,1
30,3918,4434,579,0
30,3919,4344,601,0
30,3919,4445,632,1
30,3920,4344,648,0
30,3920,4445,659,1
30,3922,4344,657,0
30,3924,4434,592,0
30,3925,4374,592,0
30,3925,4385,614,1
30,3926,4354,657,0
30,3929,4374,643,0
30,3931,4365,666,1
30,3931,4434,595,0
30,3932,4434,621,0
30,3933,4344,668,0
30,3934,4434,611,0
30,3935,4354,575,0
30,3935,4445,620,1
30,3936,4354,639,0
30,3936,4385,648,1
43,4098,4673,589,-1
43,4098,4724,657,0
43,4098,4795,662,1
43,4100,4673,549,-1
